"FON KODU"	"FON ADI"	"KATEGORİ"	"ALT KATEGORİ"	"FİYAT"	"RİSK DEĞERİ"	"GÜNLÜK"	"HAFTALIK"	"1AY"	"3AY"	"YBB"	"6AY"	"1YIL"	"3YIL"	"5YIL"	"STANDART SAPMA"	"DEĞİŞKENLİK KATSAYISI"	"SHARPE"	"AŞAĞI YÖNLÜ RİSK"	"NEGATİF GETİRİLİ GÜN SAYISI"	"NEGATİF GETİRİLİ GÜN ORANI"	"MAKSİMUM KAYIP"	"FONUN YAŞI"	"PORTFÖY BÜYÜKLÜĞÜ"	"YATIRIMCI SAYISI"	"YÖNETİM ÜCRETİ"	"AZAMİ FON İŞLETİM GİDERİ"	"TEDAVÜLDEKİ PAY ADETİ"	"DOLULUK ORANI"	"ALIŞ VALÖRÜ"	"SATIŞ VALÖRÜ"	"MİNİMUM ALIŞ MİKTARI"	"MAXİMUM ALIŞ MİKTARI"	"MİNİMUM SATIŞ MİKTARI"	"MAXİMUM SATIŞ MİKTARI"	"BANKA BONOSU"	"BYF KATILMA PAYI"	"DEVLET TAHVİLİ"	"DİĞER"	"DÖVİZ KAMU İÇ BORÇLANMA ARACI"	"DÖVİZ ÖDEMELİ BONO"	"DÖVİZ ÖDEMELİ TAHVİL"	"EUROBONDS"	"FİNANSMAN BONOSU"	"FON KATILMA BELGESİ"	"GAYRİMENKUL SERTİFİKASI"	"GAYRİMENKUL YATIRIM FON KATILMA PAYI"	"GİRİŞİM YATIRIM FON KATILMA PAYI"	"HAZİNE BONOSU"	"HİSSE SENEDİ"	"KAMU DIŞ BORÇLANMA ARACI"	"KAMU KİRA SERTİFİKASI"	"KAMU KİRA SERTİFİKASI DÖVİZ"	"KAMU KİRA SERTİFİKASI TL"	"KAMU YURT DIŞI KİRA SERTİFİKASI"	"KATILIM HESABI"	"KATILIM HESABI ALTIN"	"KATILIM HESABI DÖVİZ"	"KATILIM HESABI TL"	"KIYMETLİ MADEN"	"KIYMETLİ MADEN CİNSİNDEN BYF"	"KIYMETLİ MADEN KAMU BORÇLANMA ARACI"	"KIYMETLİ MADEN KAMU KİRA SERTİFİKASI"	"MEVDUAT ALTIN"	"MEVDUAT DÖVİZ"	"MEVDUAT TL"	"ÖZEL SEKTÖR YURT DIŞI KİRA SERTİFİKASI"	"ÖZEL SEKTÖR DIŞ BORÇ ARACI"	"ÖZEL SEKTÖR KİRA SERTİFİKASI"	"ÖZEL SEKTÖR TAHVİLİ"	"REPO"	"TAKASBANK PARA PİYASASI"	"TERS REPO"	"TÜREV ARACI"	"VADELİ İŞLEMLER NAKİT TEMİNATI"	"VADELİ MEVDUAT"	"VARLIĞA DAYALI MENKUL KIYMET"	"YABANCI BORÇLANMA ARACI"	"YABANCI BORSA YATIRIM FONU"	"YABANCI HİSSE SENEDİ"	"YABANCI KAMU BORÇLANMA ARACI"	"YABANCI MENKUL KIYMET"	"YABANCI ÖZEL SEKTÖR BORÇLANMA ARACI"	"YATIRIM FONLARI KATILMA PAYI"
"AAK"	"Ata Portföy Çoklu Varlık Değişken Fonu"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"22.379959"	"4"	"0.6964"	"-1.7341"	"-0.9087"	"0.0320"	"37.4958"	"8.5756"	"40.0024"	"340.8469"	"566.3822"	"11.16"	"0.28"	"-1.80"	"6.67"	"106"	"42.40"	"-7.04"	"31"	"72487300"	"1029"	"1.50"	"3.65"	"3238938"	"0.49"	"1"	"2"	"10"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"1.49"	"9.82"	""	""	""	"8.00"	""	""	""	""	""	"40.07"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"17.26"	""	""	"23.36"	""	""	""	""	""	""	""	""	""	""	""
"AAL"	"Ata Portföy Para Piyasası (TL) Fonu"	"Para Piyasası Fonları"	"Para Piyasası Fonları"	"1.702899"	"1"	"0.1352"	"0.9279"	"4.1443"	"13.0698"	"48.4608"	"27.6971"	"57.3764"	"132.8773"	"201.0970"	"1.87"	"0.03"	"-1.44"	"0.00"	"0"	"0.00"	"0.00"	"25"	"1960458255"	"5943"	"1.00"	"1.65"	"1151247587"	"11.51"	"0"	"0"	"10"	"Bilgi Yok"	"10"	"Bilgi Yok"	""	""	"2.48"	""	""	""	""	""	"25.62"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"5.02"	""	""	""	"6.82"	""	""	"58.44"	""	""	""	"1.62"	""	""	""	""	""	""	""
"AAV"	"Ata Portföy İkinci Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"43.110199"	"6"	"3.8164"	"-1.3163"	"-3.7802"	"-13.0299"	"32.1215"	"-8.4805"	"27.1915"	"740.9359"	"1524.7767"	"23.24"	"0.85"	"-1.41"	"15.77"	"119"	"47.60"	"-26.77"	"12"	"1742551243"	"6407"	"2.25"	"3.65"	"40420858"	"26.95"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"0.05"	""	""	""	""	""	""	""	""	""	""	"99.02"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.93"	""	""	""	""	""	""	""	""	""	""	""
"ABU"	"Ak Portföy Birebir Bankacılık Değişken Özel Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"0.053455"	"1"	"0.1142"	"0.8262"	"3.7075"	"11.4830"	"42.6684"	"24.1263"	"51.1437"	"122.2938"	"181.2977"	"1.83"	"0.04"	"-4.87"	"0.04"	"1"	"0.40"	"-0.04"	"11"	"5061927"	"65"	"2.00"	"3.65"	"94694911"	"0.47"	""	""	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	"Bilgi Yok"	""	""	"23.79"	""	""	""	""	""	"26.67"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.35"	""	""	""	"28.84"	""	""	"19.78"	""	""	""	""	""	""	""	""	""	""	""
"ACC"	"İstanbul Portföy Dördüncü Hisse Senedi Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"25.851932"	"6"	"2.5557"	"-2.7156"	"-3.2660"	"-10.7632"	"35.6313"	"-5.3040"	"35.9079"	"709.8385"	"1292.6337"	"21.86"	"0.61"	"-1.11"	"14.24"	"120"	"48.00"	"-22.01"	"8"	"224688656"	"2039"	"2.56"	"3.65"	"8691368"	"0.87"	"1"	"2"	"1"	"999999999999999"	"1"	"1000000000000000"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"90.82"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.64"	""	""	""	""	""	""	""	""	"4.46"	""	""	""	""	""	""	""	""	"4.08"
"ACD"	"İstanbul Portföy İkinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"3.472327"	"5"	"0.9644"	"-0.5263"	"0.5583"	"1.6275"	"47.4900"	"9.0196"	"51.0183"	"583.6702"	"1215.6093"	"13.65"	"0.27"	"-0.66"	"7.98"	"110"	"44.00"	"-6.31"	"26"	"150649168"	"1633"	"1.60"	"3.65"	"43385648"	"14.46"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ACK"	"İstanbul Portföy Hisse Senedi Fonu(Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Yerli Hisse Senedi Fonları"	"0.321090"	"6"	"2.0526"	"-0.4279"	"-0.7088"	"-3.2226"	"35.9531"	"-4.5296"	"31.6077"	"386.4116"	"741.2104"	"19.81"	"0.63"	"-1.44"	"13.26"	"114"	"45.60"	"-14.41"	"20"	"116834785"	"1219"	"1.60"	"3.65"	"363869263"	"7.70"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""
"ADE"	"Ak Portföy Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"0.492255"	"1"	"0.1210"	"0.8626"	"3.8300"	"11.8461"	"44.3250"	"25.2204"	"53.6113"	"130.9863"	"192.4727"	"1.73"	"0.03"	"-3.73"	"0.00"	"0"	"0.00"	"0.00"	"23"	"193333696"	"26478"	"2.00"	"3.65"	"392751260"	"1.96"	"1"	"1"	"1"	"90000000000"	"1"	"90000000000"	""	""	"12.85"	""	""	""	""	""	"17.94"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"2.40"	""	""	""	"17.07"	""	"2.49"	"33.67"	""	""	""	""	""	""	""	""	""	""	"13.68"
"ADP"	"Ak Portföy Bıst Banka Endeksi Hisse Senedi (TL) Fonu (Hisse Senedi Yoğun Fon)"	"Hisse Senedi Fonları"	"Endeks Hisse Senedi Fonları"	"0.858639"	"7"	"2.0783"	"-6.0919"	"-11.3057"	"-14.2694"	"35.8065"	"-13.2311"	"47.5160"	"717.7904"	"767.4348"	"36.06"	"0.76"	"-0.35"	"22.75"	"120"	"48.00"	"-29.20"	"24"	"3444962890"	"36202"	"2.00"	"2.19"	"4012121341"	"20.06"	"1"	"2"	"1"	"90000000000"	"1"	"90000000000"	""	"3.20"	"0.26"	""	""	""	""	""	""	""	""	""	""	""	"91.65"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"0.07"	""	""	""	""	""	"4.82"	""	""	""	""	""	""	""	""	""	""	""	""
"AED"	"Ata Portföy Birinci Değişken Fon"	"Karma ve Değişken Fon"	"Değişken Fonlar"	"66.295920"	"5"	"1.5993"	"-2.2420"	"-3.0191"	"-6.7915"	"32.9007"	"0.3655"	"34.9629"	"435.3829"	"885.6664"	"15.88"	"0.45"	"-1.58"	"10.15"	"117"	"46.80"	"-16.77"	"14"	"104483650"	"1838"	"1.75"	"3.65"	"1576019"	"10.51"	"1"	"2"	"1"	"Bilgi Yok"	"1"	"Bilgi Yok"	""	""	""	"1.87"	"7.09"	""	""	""	"10.60"	""	""	""	""	""	"67.10"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"8.38"	""	""	"4.96"	""	""	""	""	""	""	""	""	""	""	""
