Fon Kodu,Fon Adı,Fon Tipi,Fon Türü,1 Ay (%),3 Ay (%),6 Ay (%),Yılbaşı (%),1 Yıl (%),3 Yıl (%),5 Yıl (%),İlk Fiyat (TL),Son Fiyat (TL),Günlük Getiri (%),Pay (Adet),Fon Toplam Değer (TL),Kategorisi,Yatırımcı Sayısı (Kişi),Pazar Payı(%),Borsa Yatırım Fonları Katılma Payları(%),Devlet Tahvili(%),Diğer(%),Döviz Cinsi Kamu İç Borçlanma Araçları(%),Finansman Bonosu(%),Gayrimenkul Yatırım Fonları Katılma Payları(%),Girişim Sermayesi Yatırım Fonları Katılma Payları(%),Hazine Bonosu(%),Hisse Senedi(%),Katılma Hesabı(Altın),Katılma Hesabı(TL)(%),Katılma Hesabı(Döviz)(%),Kamu Yurt Dışı Kira Sertifikaları(%),Kamu Dış Borçlanma Araçları(%),Kamu Kira Sertifikaları Döviz (%),Kamu Kira Sertifikaları TL (%),Kıymetli Madenler Cinsinden BYF(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Kira Sertifikaları(%),Kıymetli Madenler Cinsinden İhraç Edilen Kamu Borçlanma Araçları(%),Kıymetli Madenler(%),Mevduat Döviz(%),Mevduat (TL)(%),Özel Sektör Dış Borçlanma Araçları(%),Özel Sektör Kira Sertifikaları(%),Özel Sektör Tahvili(%),Özel Sektör Yurt Dışı Kira Sertifikaları(%),Repo(%),Takasbank Para Piyasası(%),Ters-Repo(%),Vadeli İşlemler Nakit Teminatları(%),Varlığa Dayalı Menkul Kıymetler (%),Yabancı Borsa Yatırım Fonları(%),Yabancı Hisse Senedi(%),Yabancı Kamu Borçlanma Araçları(%),Yabancı Özel Sektör Borçlanma Araçları(%),Yatırım Fonları Katılma Payları(%),Toplam(%)
IIE,İSTANBUL PORTFÖY ONDÖRDÜNCÜ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,24.1404,72.9589,101.8023,123.2746,120.8764,,,,5.6258,1.4409,"792,368,553","4,457,742,484.12",Serbest Fon,"8,649",0.23,,1.34,,,,,1.19,,63.13,,,,,,,,,,,,,,,,,,,,,,,,,,,34.34,100.00
IVY,İSTANBUL PORTFÖY BLOCKCHAİN TEKNOLOJİLERİ KARMA FON,Menkul Kıymet Yatırım Fonları,Karma Şemsiye Fonu,2.4158,2.5606,10.6302,30.4734,95.8152,,,,2.6378,0.9503,"210,353,479","554,871,494.26",Karma Fon,"21,783",11.89,,,,,21.68,,,,,,,,,,,,,,,,,,,,,,,,,,,11.68,61.28,,,5.36,100.00
IPB,İSTANBUL PORTFÖY BİRİNCİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.9197,14.8853,36.5069,59.9163,89.5353,1126.1609,2085.4745,,0.6015,0.8779,"8,333,848","5,013,063,438.70",Değişken Fon,"45,425",8.78,,1.21,,,,,2.40,,59.19,,,,,,,,,,,,,1.07,,0.02,1.15,,,,3.9,2.39,0.79,,10.97,,,16.91,100.00
LLA,ALLBATROSS PORTFÖY AYDIN HİSSE SENEDİ SERBEST (TL) FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,2.4481,13.4624,-14.2351,38.626,84.9368,,,,1.7885,-1.3836,"40,277,112","72,037,339.00",Serbest Fon,"1,250",0.00,,,,,,,,,93.29,,,,,,,,,,,,,,,,,,,,,,,,,,,6.71,100.00
DDA,DENİZ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-1.4599,-8.6286,41.1858,58.0838,84.6338,839.9481,,,11.7297,-1.1146,"24,292,919","284,947,800.51",Serbest Fon,"2,044",0.01,,,,,,,,,92.23,,,,,,,,,,,,,0.27,,,,,,,4.45,3.05,,,,,,,100.00
TAU,İŞ PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.3227,-8.5046,45.3573,59.2506,82.9062,980.4075,849.1918,,0.4979,-0.9425,"6,711,348,310","3,341,939,505.13",Hisse Senedi Fonu,"76,418",1.99,,,,,,,,,94.27,,,,,,,,,,,,,,,,,,,,5.18,0.55,,,,,,,100.00
IZB,İSTANBUL PORTFÖY BİRİNCİ FON SEPETİ SERBEST FON,Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,9.2063,27.2161,44.702,76.7556,81.8766,,,,7.4695,0.0000,"38,937,940","290,847,257.67",Serbest Fon,219,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.00,100.00
ADP,AK PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.4049,-8.6944,43.7879,56.7166,80.2859,974.2021,852.1212,,0.9815,-0.9464,"4,155,072,422","4,078,066,777.88",Hisse Senedi Fonu,"38,863",2.43,3.15,0.21,,,,,,,91.77,,,,,,,,,,,,,0.04,,,,,,4.83,,,,,,,,,100.00
YZH,TEB PORTFÖY BIST BANKA ENDEKSİ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.6195,-9.157,43.5998,56.6327,80.102,954.9154,,,8.6059,-0.9500,"101,806,263","876,138,854.23",Hisse Senedi Fonu,"11,940",0.52,,,,,,,,,92.09,,,,,,,,,,,,,,,,,,,0.01,0.34,7.56,,,,,,,100.00
YCP,YAPI KREDİ PORTFÖY BANKACILIK SEKTÖRÜ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,-1.8926,-9.6214,42.8506,55.9642,77.4292,,,,6.9179,-0.9380,"181,702,561","1,256,998,250.26",Serbest Fon,"4,002",0.06,,,,,,,,,98.60,,,,,,,,,,,,,,,,,,,0.26,,1.04,,,,,,0.10,100.00
ZFB,AK PORTFÖY FİNTEK VE BLOKZİNCİRİ TEKNOLOJİLERİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,0.0357,1.2119,2.6,25.1046,75.1775,202.14,,,2.9591,-0.1008,"178,794,073","529,067,662.80",Değişken Fon,"24,530",0.93,,,,,,,,,22.64,,,,,,,,,,,,,,,,,,,6.25,,,,,71.11,,,,100.00
IIH,İSTANBUL PORTFÖY ÜÇÜNCÜ HİSSE SENEDİ FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-1.3963,-2.9307,34.3814,63.0363,73.7122,1315.7055,,,23.8844,-0.9436,"284,996,005","6,806,972,625.21",Hisse Senedi Yoğun,"64,419",4.06,,,,,,,,,91.99,,,,,,,,,,,,,,,,,,,1.19,,,,,,,,6.82,100.00
MKG,AKTİF PORTFÖY ALTIN KATILIM FONU,Menkul Kıymet Yatırım Fonları,Kıymetli Madenler Şemsiye Fonu,5.8284,16.2938,24.0819,40.545,73.3024,500.3784,,,7.4441,0.6052,"135,905,695","1,011,697,139.58",Altın ve Diğer Kıymetli Madenler Fonu,"10,102",1.40,,,,,,,0.56,,2.84,,,,,,,,12.73,58.74,,2.21,,,,1.55,,,,,,,,15.79,,,,5.58,100.00
HEH,HEDEF PORTFÖY ALGO EVEREST İSTATİSTİKSEL ARBİTRAJ HİSSE SENEDİ SERBEST FON (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Serbest Şemsiye Fonu,4.8136,15.3023,33.8702,48.8382,72.717,,,,1.5783,-0.0718,"557,866,209","880,505,845.51",Serbest Fon,"1,620",0.05,,,,,0.61,,,,78.23,,,,,,,,,,,,,,,,,,,-3.33,,24.49,,,,,,,100.00
IRT,INVEO PORTFÖY TEKNOLOJİ DEĞİŞKEN FON,Menkul Kıymet Yatırım Fonları,Değişken Şemsiye Fonu,1.0119,4.3308,10.5184,40.858,72.6024,,,,3.6197,0.1246,"39,081,439","141,462,053.09",Değişken Fon,"3,794",0.25,,,,,,,,,23.19,,,,,,,,,,,,,0.06,,,,,,,,,,,69.55,,,7.20,100.00
IHK,İŞ PORTFÖY İŞ'TE KADIN HİSSE SENEDİ (TL) FONU (HİSSE SENEDİ YOĞUN FON),Menkul Kıymet Yatırım Fonları,Hisse Senedi Şemsiye Fonu,-4.0229,-4.6717,36.4216,61.9858,72.356,1169.6481,,,12.5562,-1.0943,"393,800,238","4,944,653,983.12",Hisse Senedi Fonu,"85,245",2.95,,,,,,,,,97.84,,,,,,,,,,,,,,,,,,,,2.16,,,,,,,,100.00
